Адрес;Цена;Объект;Площадь
ул.Васильковского,д. 17;2 890 000;1-комн. квартира;32.6 м2
ул.Гусева б-р,д. 57;3 950 000;1-комн. квартира;38 м2
ул.Петербургское ш.,д. 115;3 265 000;1-комн. квартира;34 м2
ул.Октябрьский пр-т,д. 99;4 100 000;1-комн. квартира;35 м2
ул.Радужная,д. 5;3 390 000;1-комн. квартира;46 м2
ул.Гусева б-р,д. 57;3 420 000;1-комн. квартира;38 м2
ул.Сергея Есенина,д. 2;4 000 000;1-комн. квартира;33 м2
ул.Паши Савельевой,д. 54;3 200 000;1-комн. квартира;37 м2
ул.Бакунина,д. 8;1 440 000;1-комн. квартира;31.8 м2
ул.Загородный п.,д. 9а;1 900 000;1-комн. квартира;33.4 м2
ул.Хромова,д. 27;3 850 000;1-комн. квартира;43 м2
ул.Загородный п.,д. 7;1 600 000;1-комн. квартира;31.6 м2
"ул.Гусева б-р,д. &quot;Южная Равнина&quot;";3 650 000;1-комн. квартира;37.82 м2
ул.Комсомольская,д. 86;800 000;1-комн. квартира;37.8 м2
ул.Оснабрюкская,д. 29;4 490 000;1-комн. квартира;43.6 м2
ул.Кольцевая,д. 80;2 950 000;1-комн. квартира;34.3 м2
ул.Ореховая,д. 2;2 900 000;1-комн. квартира;36.4 м2
ул.Бурашевское ш.,д. 68;3 250 000;1-комн. квартира;26 м2
ул.Чайковского пр-т,д. 1, к1;3 350 000;1-комн. квартира;40 м2
ул.Ореховая,д. 2;3 310 000;1-комн. квартира;36.5 м2
ул.Сергея Лоскутова;3 900 000;1-комн. квартира;36 м2
ул.Оснабрюкская,д. 26;4 299 000;1-комн. квартира;46.1 м2
ул.Планерная,д. 10;3 450 000;1-комн. квартира;35.6 м2
ул.Хромова,д. 25;4 740 000;1-комн. квартира;44.5 м2
ул.Зелёный пр-д,д. 45, к4;2 900 000;1-комн. квартира;37 м2
ул.Гусева б-р,д. 61;3 690 000;1-комн. квартира;41.88 м2
ул.Фрунзе,д. Жк Ясный, к1;3 800 000;1-комн. квартира;35.2 м2
ул.Бурашевское ш.,д. 68;3 990 000;1-комн. квартира;33 м2
ул.Марии Смирновой,д. 1;4 400 000;1-комн. квартира;46.44 м2
ул.Планерная,д. 10;4 200 000;1-комн. квартира;35 м2
ул.Орджоникидзе,д. 55, к39;2 460 000;1-комн. квартира;30.3 м2
ул.Фадеева,д. 17;2 460 000;1-комн. квартира;31.3 м2
ул.Бурашевское ш.,д. 68;3 180 000;1-комн. квартира;22 м2
ул.Лукина,д. 3;1 630 000;1-комн. квартира;17 м2
ул.Бубеньево д.,д. 29;748 000;1-комн. квартира;31.3 м2
ул.Гусева б-р,д. 57;4 150 000;1-комн. квартира;38 м2
ул.Коминтерна,д. 91;4 340 000;1-комн. квартира;38.3 м2
ул.Ерофеева,д. 7;2 800 000;1-комн. квартира;23.7 м2
ул.Хромова,д. 13, к2;2 900 000;1-комн. квартира;36 м2
ул.Зелёный пр-д,д. 43, к17;3 000 000;1-комн. квартира;37 м2
ул.Мичурина,д. 44;3 150 000;1-комн. квартира;37 м2
ул.Мигаловская наб.,д. 8;3 370 000;1-комн. квартира;43 м2
ул.Левитана,д. 48, к1;4 700 000;1-комн. квартира;41.7 м2
ул.Гусева б-р,д. 57;4 150 000;1-комн. квартира;38 м2
ул.Псковская,д. 7;3 790 000;1-комн. квартира;43 м2
ул.Северная,д. 1а;1 600 000;1-комн. квартира;30 м2
ул.Коминтерна,д. 91;4 000 000;1-комн. квартира;38.3 м2
ул.Венецианова,д. 5А;2 000 000;1-комн. квартира;34.8 м2
ул.Николая Корыткова пр-т,д. 8;2 500 000;1-комн. квартира;32 м2
ул.Гусева б-р,д. 14;3 050 000;1-комн. квартира;30.1 м2
ул.Коробкова,д. 4;4 250 000;1-комн. квартира;36 м2
ул.Ильинское д.,д. 49;1 000 000;1-комн. квартира;38.1 м2
ул.Петербургское ш.,д. ЖК Топаз;3 300 000;1-комн. квартира;45.47 м2
ул.Александра Невского 1-я,д. 10, к19;6 500 000;1-комн. квартира;45 м2
ул.Гусева б-р,д. 57;4 300 000;1-комн. квартира;38 м2
ул.Новочеркасская,д. 55;2 350 000;1-комн. квартира;21.7 м2
ул.Михаила Румянцева,д. 42;3 390 000;1-комн. квартира;38.37 м2
ул.Сергея Есенина,д. 9;3 400 000;1-комн. квартира;31 м2
ул.Медовая,д. 3в;4 050 000;1-комн. квартира;37 м2
ул.Медовая,д. 2;3 840 000;1-комн. квартира;39 м2
ул.Гусева б-р,д. Гусева 62;4 100 000;1-комн. квартира;41 м2
ул.Ореховая,д. 2;3 000 000;1-комн. квартира;37 м2
ул.Александра Попова,д. 38, к2;4 050 000;1-комн. квартира;30.6 м2
ул.Складская,д. Дом у Ручья, к2;4 200 000;1-комн. квартира;42 м2
ул.Гусева б-р,д. 57;4 150 000;1-комн. квартира;38 м2
ул.Паши Савельевой,д. 37, к1;3 000 000;1-комн. квартира;35 м2
ул.Елисеева,д. 30;1 400 000;1-комн. квартира;30 м2
ул.Чайковского пр-т,д. 6, к4;3 750 000;1-комн. квартира;35 м2
ул.Комарова,д. 7;2 900 000;1-комн. квартира;34.1 м2
ул.Ерофеева,д. 19;2 640 000;1-комн. квартира;33 м2
ул.Складская,д. Дом у Ручья, к2;3 900 000;1-комн. квартира;46.3 м2
ул.Терещенко;3 500 000;1-комн. квартира;37.2 м2
ул.Фадеева,д. 23;2 860 000;1-комн. квартира;33 м2
ул.Новая,д. 2;2 850 000;1-комн. квартира;50 м2
ул.Бурашевское ш.,д. 68;3 200 000;1-комн. квартира;24 м2
ул.Мира,д. 46;1 500 000;1-комн. квартира;31 м2
"ул.Планерная,д. ЖК ""Созвездие""";3 390 000;1-комн. квартира;37.7 м2
ул.Лемешева;3 599 000;1-комн. квартира;31.9 м2
ул.Центральная,д. 2;1 640 000;1-комн. квартира;30 м2
